,actor1,assoc_actor_1,actor2,assoc_actor_2,collab_events,mon_yr,notes,event_id_cnty,event_id_no_cnty
180673,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 20 December 2019, tipper truck drivers blocked the Onitsha-Enugu road to demonstrate against levies. [size=no report]",NIG15912,15912
180853,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 20 December 2019, Sudanese asylum seekers including men, women, and children demonstrated in front of the UNHCR office in Agadez.[size=hundreds]",NIR1107,1107
180873,Protesters (Egypt),Labour Group (Egypt),Gov(Egypt),,,2019-12,"On 20 December 2019, police intervened in a protest staged by employees of Oriental Weavers in 10th of Ramadan City (10 Ramadan, Sharkia), with no reported injuries or fatalities. Employees were protesting recent layoffs, low wages, and unfair treatment [size=no report].",EGY10634,10634
180941,Protesters (Angola),Former Military Forces of Angola (1975-),Gov(Angola),,,2019-12,"On December 20 2019, former soldiers of the Angolan Armed Forces held a protest in Huambo (Huambo, Huambo) claiming their place in the ranks of the National Police. Police forces shot at protesters to disperse the crowd. At least three people were injured. No fatalities reported. [size=more than 500]",ANG3309,3309
181303,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 19 December 2019, employees of NIPOST in Abuja demonstrated over the plan to outsource the stamp duty to the Federal Inland Revenue Service. [size=no report]",NIG15906,15906
181306,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 19 December 2019, legislative aides demonstrated over unpaid allowances in Abuja at the National Assembly. [size=no report]",NIG15907,15907
181310,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 19 December 2019 (or around), residents of Ozobo community, mainly women in their hundreds, demonstrated at the Beneside Flow Station of Shell. [size=hundreds]",NIG15908,15908
181459,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 19 December 2019, Sudanese asylum seekers including men, women, and children demonstrated in front of the UNHCR office in Agadez.[size=hundreds]",NIR1106,1106
181802,Protesters (Democratic Republic of Congo),LUCHA: Fight for Change; VM: Veranda Mutsanga,Gov(DRC),,,2019-12,"On 18 December 2019, LUCHA and Veranda Mutsanga protested in Beni to request for a reconfiguration of the MONUSCO. Police intervened. [Size=a few].",DRC16267,16267
181808,Protesters (Democratic Republic of Congo),UDPS: Union for Democracy and Social Progress,Gov(DRC),,,2019-12,"On 18 December 2019, a protest of UDPS militants took place in Kasumbalesa after the police killed one of them the day before. Police intervened and 2 people died and others were injured. [Size=unreported].",DRC16269,16269
181894,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 18 December 2019, tens of women demonstrated over the recent violence between Edjophe and Iwhreka communities. [size=tens]",NIG15902,15902
182018,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 18 December 2019, Sudanese asylum seekers including men, women, and children demonstrated in front of the UNHCR office in Agadez.[size=hundreds]",NIR1104,1104
182212,Protesters (International),Refugees/IDPs (International),,,,2019-12,"On 18 December 2019, refugees demonstrated at the Central Methodist Church in central Cape Town to bring attention to the situation refugees find themselves in. [size=100].",SAF12055,12055
182279,Protesters (Sudan),Farmers (Sudan),,,,2019-12,"On 17 December 2019, farmers from Kalamindo locality demonstrated in El Fasher (North Darfur state), against trespassing, theft and damage to crops caused by pastoralists. The demonstrators also marched with the body of a slain farmer (killed in Korma) in El Fasher (North Darfur state) calling for justice and improved security in the area. The source mentions that the farmers blocked a road, but does not specify the means by which this was done (actor1 coded as protesters). [size=no report]",SUD13511,13511
182320,Protesters (Sudan),Students (Sudan),,,,2019-12,"On 17 December 2019, students from the University of Ed Daein (East Darfur state) demonstrated following the death of a student, who drowned by falling into a water tank at her dormitory. The students accused the administration of negligence. [size=large]",SUD13510,13510
182342,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Algiers to affirm their rejection of the presidential elections. [size=thousands]",ALG7873,7873
182401,Protesters (Morocco),Labour Group (Morocco),Gov(Morocco),,,2019-12,"On 17 December 2019, in Demnate, the Moroccan police intervened to disperse a protest sit-in organized by the local coordination of graduated unemployed people who have been demanding for more than 3 weeks the re-marking of the examination papers for a regional contest to integrate the Educational sector. According to the report, 3 protestors were injured and 5 arrested. [size=no report]",MOR2383,2383
182565,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 17 December 2019, Sudanese asylum seekers including men, women, and children demonstrated in front of the UNHCR office in Agadez.[size=hundreds]",NIR1102,1102
182570,Protesters (Cameroon),Labour Group (Cameroon),Gov(Cameroon),,,2019-12,"On 17 December 2019, a group of PhD holders staged a protest before the Ministry of Higher Education in Yaounde, Yaounde 6 subdivision (Mfoundi, Centre). They were denouncing the non-transparent recruitment of two thousands PhD holders in the public service. The police forces intervened with 'brutality'. [size=no report]",CAO2746,2746
182655,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Annaba to affirm their rejection of the presidential elections. [size=dozens]",ALG7874,7874
182708,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Tizi Ouzou to affirm their rejection of the presidential elections. [size=no report]",ALG7881,7881
182710,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Constantine to affirm their rejection of the presidential elections. [size=masses]",ALG7877,7877
182737,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Oran to affirm their rejection of the presidential elections. [size=no report]",ALG7879,7879
182753,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Bejaia to affirm their rejection of the presidential elections. [size=thousands]",ALG7875,7875
182800,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 17 December 2019, students held their 43rd consecutive pro-hirak university demonstrations in Bouira to affirm their rejection of the presidential elections. [size=hundreds]",ALG7876,7876
182883,Protesters (Egypt),Labour Group (Egypt),Gov(Egypt),,,2019-12,"On 16 December, 2019, Egyptian Police Forces used tear gas, water cannons, and batons to break up a sit-in by 10 factory workers in Port Said (Al-Munakh, Port Said), causing an unknown number of injuries. Police arrested approximately 170 protesters. The factory workers were protesting the decision to change their entry gate, asserting that the change of entry will cause delays attending work on time [size=hundreds].",EGY10630,10630
182902,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 16 December 2019, Sudanese refugees staged a sit-in in front of the HCR offices in Agadez, denouncing poor living conditions.[size=thousand]",NIR1101,1101
183136,Protesters (Ethiopia),Women (Ethiopia),,,,2019-12,"16 December 2019: A woman-only rally was held in Wolayta zone (Sodo town), in support of Wolayta becoming a regional state. [size=no report]",ETH5401,5401
183197,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 16 December 2019, over 100 women from Agubia Ikwo community demonstrated in Abakaliki over the arrest of youth in their area. [size=100]",NIG15888,15888
183392,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 16 December 2019, hundreds of women demonstrated in Abeokuta over the composition of the commissioners list produced by the Governor. [size=hundreds]",NIG15889,15889
183714,Protesters (Nigeria),Labour Group (Nigeria),Gov(Nigeria),,,2019-12,"On 15 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. Police forces intervened and stopped the demonstration. [size=hundreds]",NIG15885,15885
183976,Protesters (Kenya),Christian Group (Kenya),,,,2019-12,"On December 15 2019, hundreds of members of 46 churches protested against the proliferation of bars in Kithirune (Central Imenti, Meru). [size=hundreds]",KEN7155,7155
184149,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 14 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15884,15884
184170,Protesters (Burkina Faso),Labour Group (Burkina Faso),,,,2019-12,"On 14 December 2019, trade financers staged a sit-in in front of the National Financial Information Processing Unit (CENTIF) in Ouagadougou.[size=large]",BFO3350,3350
184179,Protesters (Sudan),NCP: National Congress Party,,,,2019-12,"On 14 December 2019, supporters of President Omar al-Bashir and his banned NCP party marched in Khartoum, in opposition to the dismantlement of the Bashir regime, and to his jail sentence handed down that same day. [size=3,000]",SUD13495,13495
184640,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 13 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15880,15880
184804,Protesters (South Sudan),SPLM/A: Sudan People's Liberation Movement/Army,,,1,2019-12,"On 13 December 2019, residents of Yei (as well as members of the state assembly, coded as SPLM) marched through Yei town (Central Equatoria state), handing petitions to the governor of the disputed Yei Rivers state and to UNMISS, calling for the controversial 32 states system to be preserved, and for the inclusion of Abyei in South Sudan. [size=hundreds]",SSD6361,6361
184838,Protesters (Mozambique),RENAMO: Mozambican National Resistance,Gov(Mozambique),,1,2019-12,"On December 13 2019, RENAMO marched to mark the end of the year's youth activities in Quelimane (Cidade De Quelimane, Zambesia). The police interrupted the march using tear gas to disperse the crowd. Three protesters were injured. [size=no report]",MZM1330,1330
184912,Protesters (Uganda),PP: People Power,Gov(Uganda),,,2019-12,"On 13 December 2019, police arrested a number of People Power activists as they marched in Makindye (Kampala), and attempted to mobilise residents of the area to join the march. [size=small]",UGA5761,5761
185079,Protesters (Sudan),Students (Sudan),,,,2019-12,"On 12 December 2019, students marched in El Fasher (North Darfur state), calling for affordable bread, improvement to transportation in the city, and for improvements to the University of El Fasher. [size=no report]",SUD13491,13491
185110,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,,2019-12,"On 12 December 2019, Police forces used live ammunition and teargas to disperse protesters of IM in Abuja who called for the release of their leader. [size=no report]",NIG15864,15864
185145,Protesters (Sudan),Students (Sudan),,,,2019-12,"On or around 12 December 2019, students of the University of the Holy Quran and Islamic Sciences in Khartoum began a sit-in protest, calling for an end for segregation between male and female students, and for a toning down of the Islamic content of the university. [size=no report]",SUD13618,13618
185149,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 12 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15878,15878
185188,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 12 December 2019, pensioners demonstrated in Benin City and expressed their support for the re-election of the state governor. [size=no report]",NIG15861,15861
185236,Protesters (Uganda),PP: People Power,Gov(Uganda),,,2019-12,"On 12 December 2019, police fired tear gas at People Power activists demonstrating in Kamwokya (Kampala), and made a number of arrests. [size=no report]",UGA5760,5760
185285,Protesters (Nigeria),Students (Nigeria),,,,2019-12,"On 12 December 2019, students of a nursing school demonstrated in Ogid and urged the authorities to enforce speed limits after a fellow student was killed in a traffic accident. [size=no report]",NIG15869,15869
185519,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 12 December 2019, women in Jalingo demonstrated at the House of Assembly and called for action against gender based violence. [size=no report]",NIG15867,15867
185599,Protesters (Algeria),Journalists (Algeria),Gov(Algeria),,,2019-12,"On 11 December 2019, protesters gathered in the streets of Algiers to affirm thir rejection of the presidential elections. Several journalists were injured by police forces. In a separate protest movement, some expressed their support of the elections. [size=thousands]",ALG7826,7826
186128,Protesters (Angola),MIC: Movement for the Independence of Cabinda,Gov(Angola),,,2019-12,"On December 10 2019, a demonstration was held by the Movement for the Independence of Cabinda, in Cabinda. 15 people were arrested. [size=no report]",ANG3306,3306
186244,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Algiers to affirm their rejection of the presidential elections. In some parts of the city, police forces intervened and arrested several youth. [size=tens of thousands]",ALG7815,7815
186274,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Mostaganem to affirm their rejection of the presidential elections. [size=masses]",ALG7823,7823
186284,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Bouira to affirm their rejection of the presidential elections. [size=thousands]",ALG7821,7821
186293,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Tizi Ouzou to affirm their rejection of the presidential elections. [size=thousands]",ALG7825,7825
186296,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Constantine to affirm their rejection of the presidential elections. [size=masses]",ALG7822,7822
186307,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Oran to affirm their rejection of the presidential elections. Police forces arrested protesters. [size=500]",ALG7817,7817
186330,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Annaba to affirm their rejection of the presidential elections. Police forces arrested protesters. [size=no report]",ALG7816,7816
186338,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Ain Temouchent to affirm their rejection of the presidential elections. [size=masses]",ALG7819,7819
186351,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Sidi Bel Abbes to affirm their rejection of the presidential elections. Police forces arrested protesters. [size=no report]",ALG7818,7818
186355,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 10 December 2019, students held their 42nd consecutive pro-hirak university demonstrations in Bejaia to affirm their rejection of the presidential elections. [size=thousands]",ALG7820,7820
186679,Protesters (Nigeria),Refugees/IDPs (Nigeria),,,,2019-12,"On 10 December 2019 (or around), flood victims demonstrated against the closure of IDP camps in Asaba and demanded compensation for flood losses. [size=no report]",NIG15854,15854
186856,Protesters (Sudan),FFC: Forces for Freedom and Change; Labour Group (Sudan),Gov(Sudan),,,2019-12,"On or around 9 December 2019, protesters (including FFC members) demonstrated against arbitrary dismissals of employees of the Kenana Sugar Factory at Kenana (Sennar state), and for a restructuring of the management of the factory. Police dispersed protesters with batons and tear gas. 10 activists were arrested. [size=no report]",SUD13477,13477
186926,Protesters (Morocco),Teachers (Morocco),Gov(Morocco),,,2019-12,"On 9 December 2019, in Rabat, the 'National coordination of employees of the Ministry of National Education who hold diplomas', organized a 'barefoot march' towards the parliament which was dispersed by the Moroccan police. 5 protesters were reported injured. [size=no report]",MOR2366,2366
186983,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 09 December 2019, students demonstrated in Mostaganem to affirm their rejection of the presidential elections. [size=masses]",ALG7811,7811
187006,Protesters (Sudan),Students (Sudan),,,,2019-12,"On 9 December 2019, secondary school students marched in El Obeid (North Kordofan state), in opposition to high prices for food and transportation. [size=no report]",SUD13479,13479
187878,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 7 December 2019, the Women at Risk International Foundation organized an advocacy march to protest against Gender Based Violence, in Lagos (Lagos Island, Lagos). [size=no report]",NIG15834,15834
188123,Protesters (Libya),Gov(Libya),,,,2019-12,"On 7 December 2019, members of the security forces in Ash Shwayrif staged a demonstration and threatened to close down the Man-made river in response to salary cuts.[size=dozen]",LBY8966,8966
188947,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 5 December 2019, women demonstrated at the High Court in Abuja and demanded freedom for the #RevolutionNow leader Sowore. [size=no report]",NIG15821,15821
189272,Protesters (Nigeria),Labour Group (Nigeria),,,,2019-12,"On 5 December 2019, employees of NIPOST demonstrated in Abuja against the plan to take away stamp duties from the postal service. [size=no report]",NIG15820,15820
189312,Protesters (Uganda),Taxi Drivers (Uganda); NRM: National Resistance Movement,Gov(Uganda),,,2019-12,"On 5 December 2019, protesters (including boda boda drivers) - who are reportedly aligned to the NRM (and coded as such) - demonstrated in Kisenyi (Kampala), against a petition to have Museveni indicted at the International Criminal Court. Police dispersed the protesters. [size=dozens]",UGA5757,5757
189390,Protesters (Burkina Faso),Labour Group (Burkina Faso),,,,2019-12,"On 4 December 2019, census workers demonstrated in Barsalogo against the decision to not deploy teams to certain due to insecurity and demanded that workers were maintained on duty or compensated for those who abandoned their jobs since the training stage.[size=no report]",BFO3325,3325
189391,Protesters (Nigeria),Women (Nigeria),,,,2019-12,"On 4 December 2019 (or around), a women association demonstrated against the swearing-in of a new state Chief Judge in Gombe. [size=no report]",NIG15814,15814
189473,Protesters (Morocco),Teachers (Morocco),Gov(Morocco),,,2019-12,"On 4 December 2019, in Rabat, the police intervened to evacuate a sit-in protest held by dozens of graduated teachers in front of the parliament. They were denouncing the lack of response from the government to their demands to beneficiate as previous batches from a rise in their salaries and a promotion. A number of protestors were reported injured during the intervention.[size=dozens]",MOR2351,2351
189984,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 3 December 2019, refugees from the Nuba Mountains of Sudan demonstrated at the UNHCR office in Yida Refugee Camp (Unity state), protesting the lack of food, water and medicine in the camp, which have reportedly been lacking over the past three months. [size=hundreds]",SSD6335,6335
190214,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Setif. [size=dozens]",ALG7760,7760
190218,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2019-12,"On 3 December 2019, IDPs demonstrated in Zam Zam camp (North Darfur state), against attacks by armed pastoralists, and at the shrotages of essential goods and services in the camp. [size=no report]",SUD13461,13461
190234,Protesters (Morocco),NCPD: National Coordination For People With Disabilities,Gov(Morocco),,,2019-12,"On 3 December 2019, in Casablanca, the Moroccan police dispersed a sit in organized by the 'National Peace Coordination for Persons with Disabilities' which was disturbing the tramway transport flux. The protestors demanded the government to grant more social assistance to people with disabilities. [size=no report]",MOR2344,2344
190381,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Saida and police arrested several protesters. [size=dozens]",ALG7759,7759
190393,Protesters (Libya),Tabu Ethnic Group (Libya),,,,2019-12,"On 3 December 2019, members of the Tebu community staged a protest march in Umm el Araneb, denouncing the presence of LNA's Khalid Ibn Al-Walid Battalion.[size=dozens]",LBY8953,8953
190424,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Bouira. [size=hundreds]",ALG7753,7753
190530,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Algiers. [size=thousands]",ALG7748,7748
190534,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Bejaia. [size=hundreds]",ALG7751,7751
190541,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Constantine. [size=no report]",ALG7755,7755
190545,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Oran. [size=hundreds]",ALG7758,7758
190549,Protesters (Algeria),Students (Algeria),Gov(Algeria),,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Sidi Bel Abbes and police arrested several protesters. [size=dozens]",ALG7761,7761
190553,Protesters (Algeria),Students (Algeria),,,,2019-12,"On 03 December 2019, students held their 41st consecutive anti-regime university demonstrations in Tizi Ouzou. [size=dozens]",ALG7763,7763
190701,Protesters (Morocco),Teachers (Morocco),Gov(Morocco),,,2019-12,"On 2 December 2019, in Rabat, the police intervened to evacuate dozens of graduated teachers who forcibly entered the ministry of Education to protest against the delay in the payment of their salaries and the denying of their right for promotion. One protestor was reported injured.[size=dozens]",MOR2343,2343
192658,Protesters (Democratic Republic of Congo),LUCHA: Fight for Change; Students (Democratic Republic of Congo),Gov(DRC),Gov(DRC),,2019-11,"On 29 November 2019, a 'ville morte' (dead city) was declared in Goma in sign of demonstration against the recent killings in the region by the ADF. Barricades were raised by students to block the roads, police intervened and shootings were heard. Numbers are not confirmed; 3 people would have been killed and 6 others including 4 students were injured. 3 LUCHA militants and 35 others would have been arrested. [Size=unknown]",DRC16149,16149
193298,Protesters (Sudan),Students (Sudan),,,,2019-11,"On 27 November 2019, students of the University of Singa demonstrated at Singa (Sennar state) at the poor quality of student accommodation, and against the miserly National Student Welfare Fund. [size=no report]",SUD13434,13434
193355,Protesters (Sudan),Students (Sudan),,,,2019-11,"On or before 27 November 2019, secondary school students demonstrated in support of the December Revolution outside the Kenana Sugar Company police post. [size=no report]",SUD13432,13432
193356,Protesters (Nigeria),IM: Islamic Movement; Journalists (Nigeria),Gov(Nigeria),,,2019-11,"On 27 November 2019, IM members demonstrated against the detention of their leader in Abuja. Police forces responded with live ammunition and killed a school girl. Two journalists were arrested. [size=no report]",NIG15775,15775
193447,Protesters (Chad),Students (Chad),Gov(Chad),,,2019-11,"On 27 November 2019, security forces intervened and fired tear gas to disperse angry students after another student had been stabbed amidst a dispute.[size=no report]",CHA985,985
193520,Protesters (South Sudan),Students (South Sudan),,,,2019-11,"On 27 November 2019, students marched in Bor (Jonglei state), calling for their lecturers (who have gone on strike) to be paid salary arrears. (Note: the source implies the road was barricaded, but accompanying photos suggest this wasn't the case). [size=dozens]",SSD6323,6323
193523,Protesters (Nigeria),Students (Nigeria),,,,2019-11,"On 27 November 2019, students demonstrating against lecturers who are members of the Academic Staff Union of University interfered in a press conference of the union held at the University of Port Harcourt. [size=no report]",NIG15781,15781
193579,Protesters (South Africa),Civilians (China),,,,2019-11,"On 27 November 2019, members of the Chinese community demonstrated outside the Brakpan magistrates court during the case of police officers who are accused of terrorising a mother of a girl who was raped in March, demanding her to drop the rape charges. [size=no report].",SAF12004,12004
193595,Protesters (South Africa),Civilians (China),,,,2019-11,"On 27 November 2019, Members of the Chinese community demonstrated outside the Equality Court sitting in the South Gauteng High Court in Johannesburg during the case of 12 people accused of hate speech directed at Chinese nationals. [size=no report].",SAF12005,12005
193659,Protesters (Nigeria),Women (Nigeria),,,,2019-11,"On 27 November 2019, women in Agasha demonstrated over missing genitals allegedly stolen by suspected ritualists. [size=no report]",NIG15776,15776
193898,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,,2019-11,"On 26 November 2019 (or around), members of the Warri catholic diocese demonstrated against ritual killings and internet fraud in Orerokpe. [size=no report]",NIG15772,15772
193991,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Algiers. [size=no report]",ALG7692,7692
193997,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Bejaia. [size=no report]",ALG7693,7693
194002,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Constantine. [size=no report]",ALG7694,7694
194004,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Oran. [size=hundreds]",ALG7695,7695
194014,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Sidi Bel Abbes. [size=no report]",ALG7696,7696
194021,Protesters (Algeria),Students (Algeria),,,,2019-11,"On 26 November, 2019, students held their 40th consecutive anti-regime university demonstrations in Tizi Ouzou. [size=no report]",ALG7697,7697
194209,Protesters (Sudan),Students (Sudan),,,,2019-11,"From 24-26 November 2019, protesters (including school children) gathered in Nyala (South Darufr state), to demonstrate against the lack of public transport in the city and plans to increase taxes on buses (prompting bus drivers to strike). [size=large]",SUD13428,13428
194627,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Abdelbagi Badia (North Darfur state. No geographic information found; coordinates for state capital El Fasher used at prec3), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13414,13414
194630,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Saraf Omra (North Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13424,13424
194635,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Zalingei (Central Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13426,13426
194639,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Nyala (South Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13422,13422
194644,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Damrat El Sheikh (North Darfur state, coordinates for Kafod used at prec2), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13416,13416
194651,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Kutum (North Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13420,13420
194654,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Khartoum, calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=small]",SUD13418,13418
194659,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Misteriua (North Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13421,13421
194664,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in El Geneina (West Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13415,13415
194668,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2019-11,"On 25 November 2019, supporters of the Revolutionairy Awakening Council demonstrated in Ed Daein (East Darfur state), calling for detained ex-Janjaweed leader Musa Hilal and other members of the RAC to be released from prison. [size=no report]",SUD13413,13413
194873,Protesters (Sudan),Students (Sudan),,,,2019-11,"On 25 November 2019, Darfuri students from the University of Dongola began a four-day sit-in outside the Ministry of Higher Education in Khartoum. The demonstrators were protesting racial discrimination and the poor quality of education available to them. [size=small]",SUD13419,13419
194888,Protesters (Algeria),Students (Algeria),,,,2019-11,"Through 23-25 November 2019, students in Constantine held daily protests against the 12 December elections. [size=no report]",ALG7686,7686
194921,Protesters (Mali),Fulani Ethnic Group (Mali),,,,2019-11,"On 25 November 2019, Fulani civil society organization Jeunesse Tabital Pulaaku organized a protest meeting in Bamako following the arrest of their president by Malian security services.[size=large]",MLI3309,3309
195187,Protesters (Sudan),Students (Sudan),,,,2019-11,"From 24-26 November 2019, protesters (including school children) gathered in Nyala (South Darufr state), to demonstrate against the lack of public transport in the city and plans to increase taxes on buses (prompting bus drivers to strike). [size=large]",SUD13423,13423
195338,Protesters (Sudan),Students (Sudan),,,,2019-11,"On or around 24 November 2019, students protested at the University of Zalingei (Central Darfur state), articulating a range of greivances against the Faculty of Medicine. [size=no report]",SUD13412,13412
195397,Protesters (Sudan),Students (Sudan),,,,2019-11,"On 24 November 2019, students of the University of Delling gathered in Khartoum, demonstrating against a range of greivances against the Faculty of Medicine and its Dean, including the suspension of students following the December Revolution. [size=no report]",SUD13408,13408
