,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
159858,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2020-01,"On 31 January 2020, supporters of the PDP demonstrated at the UK and US embassy in Abuja (Abuja LGA, FCT) and demanded justice and good governance in Nigeria. [size=no report]",NIG16221,16221
160698,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Imo,2020-01,"On 30 January 2020, members of the PDP in Owerri (Owerri LGA, Imo) demonstrated against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=no report]",NIG16220,16220
161071,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2020-01,"On 29 January 2020, residents of Akwete-Ndoki (Ukwa East LGA, Abia) demonstrated at the Rubber Research Institute and demanded employment at the institute. [size=no report]",NIG16208,16208
161307,Protesters (Nigeria),Women (Nigeria),,,Ebonyi,2020-01,"On 29 January 2020, about 50 women demonstrated at the Government House in Abakaliki (Ebonyi LGA, Ebonyi) over the alleged confiscation of their mineral deposits. [size=about 50]",NIG16206,16206
161318,Protesters (Nigeria),Students (Nigeria),,,Delta,2020-01,"On 29 January 2020, hundreds of students of the Delta State Polytechnic in Ozoro (Isoko North LGA, Delta) demonstrated at their campus over the conditions at their institution. [size=hundreds]",NIG16216,16216
164431,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Edo,2020-01,"On 23 January 2020, members of the PDP demonstrated in Benin City (Benin City, Edo) against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=no report]",NIG16169,16169
165165,Protesters (Nigeria),YWC: Yoruba World Congress,Gov(Nigeria),,Lagos,2020-01,"On 21 January 2020, demonstrators under leadership of the Yoruba World Congress in Ojota (Kosofe LGA, Lagos) attempted to march against the opposition of the Federal Government to the regional security cooperation of South West states and their joint operation 'Amotekun' to combat crime in the area. Police forces blocked the entrance to meeting venue and stopped the demonstration. [size=no report]",NIG16164,16164
165600,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-01,"On 21 January 2020, staff members of the Federal Institute of Industrial Research in Oshodi (Lagos, Lagos State) demonstrated and demanded clarity over the academic record of the director. [size=no report]",NIG16165,16165
165756,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2020-01,"On 20 January 2020, hundreds of members of the PDP demonstrated in Abuja (Abuja, FCT) against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=hundreds]",NIG16155,16155
165914,Protesters (Nigeria),Labour Group (Nigeria),,,Niger,2020-01,"On 20 January 2020, workers of the Kwara Waste Management Company in Ilorin (Ilorin, Kwara) demonstrated over the non-payment of their salaries. [size=no report]",NIG16156,16156
166031,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Imo,2020-01,"On 20 January 2020, hundreds staged a demonstration in Owerri (Owerri LGA, Imo) to support the decision of the supreme court to remove the PDP governor of Imo state from office. [size=hundreds]",NIG16158,16158
166072,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-01,"On 20 January 2020, a group of mechanics demonstrated in Port Harcourt (Port Harcourt LGA, Rivers) over the death of a colleague in police custody. [size=no report]",NIG16159,16159
166079,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2020-01,"On 20 January 2020, members of the APC in Abuja (Abuja, FCT) staged a counter-demonstration to support the decision of the supreme court to remove the PDP governor of Imo state from office. [size=no report]",NIG16154,16154
166171,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-01,"On 20 January 2020, staff members of the Federal Institute of Industrial Research in Oshodi (Lagos, Lagos State) demonstrated and demanded clarity over the academic record of the director. [size=no report]",NIG16157,16157
166327,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Anambra,2020-01,"On 19 January 2020, members of the PDP demonstrated in Awka (Awka South LGA, Anambra) against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=no report]",NIG16150,16150
166329,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Imo,2020-01,"On 19 January 2020, hundreds of members of the PDP demonstrated in Owerri (Owerri LGA, Imo) against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=hundreds]",NIG16152,16152
166333,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Abia,2020-01,"On 19 January 2020, hundreds of members of the PDP demonstrated in Umuahia (Umuahia LGA, Abia) against the decision of the supreme court to remove the PDP governor of Imo state from office. [size=hundreds]",NIG16153,16153
166643,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-01,"On 19 January 2020, staff members of the Federal Institute of Industrial Research in Oshodi (Lagos, Lagos State) demonstrated and demanded clarity over the academic record of the director. [size=no report]",NIG16151,16151
168111,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-01,"On 16 January 2020, staff members of the Federal Institute of Industrial Research in Oshodi demonstrated and demanded clarity over the academic record of the director. [size=no report]",NIG16086,16086
169218,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2020-01,"On 14 January 2020, members of IM demonstrated in Abuja and demanded the release of their leader. Police forces opened fire and injured 5 demonstrators. [size=at least 5]",NIG16064,16064
169492,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2020-01,"On 13 January 2020, beneficiaries of the Youth Employment and Social Support Operation demonstrated in Oshogbo over the non-payment of their stipends. [size=no report]",NIG16062,16062
171121,Protesters (Nigeria),Labour Group (Nigeria),,,Bayelsa,2020-01,"On 10 January 2020, athletes demonstrated in Yenagoa at Bayelsa State treasury house and demanded their promised rewards. [size=no report]",NIG16042,16042
171189,Protesters (Nigeria),Tiv Ethnic Group (Nigeria); Journalists (Nigeria),Gov(Nigeria),,Benue,2020-01,"On 10 January 2020, youth of the Tiv community demonstrated in Makurdi over the perceived attacks of a minister against the group. Police forces intervened and beat up journalists. Video cameras and equipment were seized. [size=no report]",NIG16040,16040
171735,Protesters (Nigeria),Women (Nigeria),,,Kaduna,2020-01,"On 9 January 2020, women groups demonstrated in Kaduna for peaceful local elections held in some constituencies. [size=no report]",NIG16032,16032
173100,Protesters (Nigeria),APC: All Progressives Congress,,,Imo,2020-01,"On 6 January 2020, a decision by the Supreme Court to replace council chairman in Imo LGAs sparked tensions between APC and PDP supporters. In Owerri North, the former APC chairman with 500 supporters marched to the council to demonstrate against his sacking. [size=500]",NIG16003,16003
173106,Protesters (Nigeria),APC: All Progressives Congress,,,Imo,2020-01,"On 6 January 2020, a decision by the Supreme Court to replace council chairman in Imo LGAs sparked tensions between APC and PDP supporters. In Owerri West, the former APC chairman with 200 supporters marched to the council to demonstrate against his sacking. [size=200]",NIG16009,16009
173145,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-01,"On 6 January 2020, workers of the Niger Delta Basin Development Authority demonstrated against the manager of their organization at their office in Port Harcourt. [size=no report]",NIG16005,16005
174605,Protesters (Nigeria),Women (Nigeria),,,Niger,2020-01,"On 3 January 2020, demonstrations by women in Ilorin against the demolition of structures belonging to a late Second Republic Senate Leader continued. [size=no report]",NIG15974,15974
175834,Protesters (Nigeria),Women (Nigeria),,,Niger,2019-12,"On 31 December 2019, hundreds of women in Ilorin demonstrated against the planned demolition of structures belonging to a late Second Republic Senate Leader. [size=hundreds]",NIG15965,15965
177114,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2019-12,"On 27 December 2019, Police dispersed a demonstration of IM members in Sokoto. [size=no report]",NIG15947,15947
178597,Protesters (Nigeria),Former Bakassi Local Council of Cross River State,Gov(Nigeria),,Cross River,2019-12,"On 24 December 2019 (or around), over 150 former militants blocked roads in Calabar and occupied parts of the airport to demonstrate against the non-payment of stipends and trainings. Military forces intervened and stopped the demonstration. [size=150]",NIG15936,15936
179028,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2019-12,"On 23 December 2019, over 3000 government workers demonstrated in Asaba over the lay-off of civil servants. [size=3000]",NIG15922,15922
180673,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2019-12,"On 20 December 2019, tipper truck drivers blocked the Onitsha-Enugu road to demonstrate against levies. [size=no report]",NIG15912,15912
181303,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-12,"On 19 December 2019, employees of NIPOST in Abuja demonstrated over the plan to outsource the stamp duty to the Federal Inland Revenue Service. [size=no report]",NIG15906,15906
181306,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-12,"On 19 December 2019, legislative aides demonstrated over unpaid allowances in Abuja at the National Assembly. [size=no report]",NIG15907,15907
181310,Protesters (Nigeria),Women (Nigeria),,,Delta,2019-12,"On 19 December 2019 (or around), residents of Ozobo community, mainly women in their hundreds, demonstrated at the Beneside Flow Station of Shell. [size=hundreds]",NIG15908,15908
181894,Protesters (Nigeria),Women (Nigeria),,,Delta,2019-12,"On 18 December 2019, tens of women demonstrated over the recent violence between Edjophe and Iwhreka communities. [size=tens]",NIG15902,15902
183197,Protesters (Nigeria),Women (Nigeria),,,Ebonyi,2019-12,"On 16 December 2019, over 100 women from Agubia Ikwo community demonstrated in Abakaliki over the arrest of youth in their area. [size=100]",NIG15888,15888
183392,Protesters (Nigeria),Women (Nigeria),,,Ogun,2019-12,"On 16 December 2019, hundreds of women demonstrated in Abeokuta over the composition of the commissioners list produced by the Governor. [size=hundreds]",NIG15889,15889
183714,Protesters (Nigeria),Labour Group (Nigeria),Gov(Nigeria),,Lagos,2019-12,"On 15 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. Police forces intervened and stopped the demonstration. [size=hundreds]",NIG15885,15885
184149,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-12,"On 14 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15884,15884
184640,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-12,"On 13 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15880,15880
185110,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2019-12,"On 12 December 2019, Police forces used live ammunition and teargas to disperse protesters of IM in Abuja who called for the release of their leader. [size=no report]",NIG15864,15864
185149,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-12,"On 12 December 2019, hundreds of employees of a textile company in Ikorodu demonstrated at the premises of their company over poor welfare conditions. [size=hundreds]",NIG15878,15878
185188,Protesters (Nigeria),Labour Group (Nigeria),,,Edo,2019-12,"On 12 December 2019, pensioners demonstrated in Benin City and expressed their support for the re-election of the state governor. [size=no report]",NIG15861,15861
185285,Protesters (Nigeria),Students (Nigeria),,,Anambra,2019-12,"On 12 December 2019, students of a nursing school demonstrated in Ogid and urged the authorities to enforce speed limits after a fellow student was killed in a traffic accident. [size=no report]",NIG15869,15869
185519,Protesters (Nigeria),Women (Nigeria),,,Taraba,2019-12,"On 12 December 2019, women in Jalingo demonstrated at the House of Assembly and called for action against gender based violence. [size=no report]",NIG15867,15867
186679,Protesters (Nigeria),Refugees/IDPs (Nigeria),,,Delta,2019-12,"On 10 December 2019 (or around), flood victims demonstrated against the closure of IDP camps in Asaba and demanded compensation for flood losses. [size=no report]",NIG15854,15854
187878,Protesters (Nigeria),Women (Nigeria),,,Lagos,2019-12,"On 7 December 2019, the Women at Risk International Foundation organized an advocacy march to protest against Gender Based Violence, in Lagos (Lagos Island, Lagos). [size=no report]",NIG15834,15834
188947,Protesters (Nigeria),Women (Nigeria),,,Federal Capital Territory,2019-12,"On 5 December 2019, women demonstrated at the High Court in Abuja and demanded freedom for the #RevolutionNow leader Sowore. [size=no report]",NIG15821,15821
189272,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-12,"On 5 December 2019, employees of NIPOST demonstrated in Abuja against the plan to take away stamp duties from the postal service. [size=no report]",NIG15820,15820
189391,Protesters (Nigeria),Women (Nigeria),,,Gombe,2019-12,"On 4 December 2019 (or around), a women association demonstrated against the swearing-in of a new state Chief Judge in Gombe. [size=no report]",NIG15814,15814
193356,Protesters (Nigeria),IM: Islamic Movement; Journalists (Nigeria),Gov(Nigeria),,Federal Capital Territory,2019-11,"On 27 November 2019, IM members demonstrated against the detention of their leader in Abuja. Police forces responded with live ammunition and killed a school girl. Two journalists were arrested. [size=no report]",NIG15775,15775
193523,Protesters (Nigeria),Students (Nigeria),,,Rivers,2019-11,"On 27 November 2019, students demonstrating against lecturers who are members of the Academic Staff Union of University interfered in a press conference of the union held at the University of Port Harcourt. [size=no report]",NIG15781,15781
193659,Protesters (Nigeria),Women (Nigeria),,,Benue,2019-11,"On 27 November 2019, women in Agasha demonstrated over missing genitals allegedly stolen by suspected ritualists. [size=no report]",NIG15776,15776
193898,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Delta,2019-11,"On 26 November 2019 (or around), members of the Warri catholic diocese demonstrated against ritual killings and internet fraud in Orerokpe. [size=no report]",NIG15772,15772
197281,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-11,"On 21 November, APC members demonstrated at the party's HQ in Abuja and demanded the sacking of the national chairman. [size=no report]",NIG15739,15739
198684,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-11,"On 18 November, car dealers demonstrated against practices of the Customs Service at the Lagos State House of Assembly. [size=no report]",NIG15725,15725
200244,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2019-11,"On 16 November 2019, women in Opolo demonstrated against the interruption of the elections in their area. [size=no report]",NIG15707,15707
200449,Protesters (Nigeria),Labour Group (Nigeria),,,Ogun,2019-11,"On 16 November 2019, Dangote truck drivers demonstrated over a dispute with traffic officials and blocked the Lagos-Abeokuta highway with their trucks at Papalanto. [size=no report]",NIG15706,15706
203197,Protesters (Nigeria),Journalists (Nigeria),Gov(Nigeria),,Federal Capital Territory,2019-11,"On 12 November 2019, security forces used live ammunition to disperse a demonstration against the detention of the #RevolutionNow leader Soworre at DSS HQ in Abuja. A journalist was beaten up by security forces. [size=12]",NIG15681,15681
206974,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2019-11,06 November 2019. Pensioners protested the non-payment of their entitlements in Port Harcourt. [size=hundreds],NIG15654,15654
210183,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2019-11,01 November 2019. Students protested on the campus of Ado-Ekiti Polytechnic against the imposition of a candidate for the students union leadership elections. [size=no report],NIG15646,15646
210354,Protesters (Nigeria),Students (Nigeria),,,Edo,2019-11,01 November. Students of UNIBEN in Benin City protested the poor management of their institution. [size=no report],NIG15608,15608
210975,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2019-10,"31 October 2019. Traders protested the closure of Nigeria's borders at the Ministry of Trade, Industry and Investment in Abuja. [size=no report]",NIG15644,15644
210999,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2019-10,31 October 2019. Tipper truck drivers protested the imposition of a levy at the magistrate court in Awka. [size=no report],NIG15645,15645
211694,Protesters (Nigeria),Labour Group (Nigeria),,,Bayelsa,2019-10,30 October (or around). Workers of the Federal Polytechnic of Oil and Gas protested the non-payment of their salaries in Yenagoa. [size=no report],NIG15605,15605
211718,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-10,30 October. Workers of Dangote Flour Mill in Lagos protested the non-payment of their gratuities. [size=no report],NIG15604,15604
217142,Protesters (Nigeria),Labour Group (Nigeria),,,Cross River,2019-10,21 October 2019. Pensioners of the Police service protested to demand payment of their pensions in Calabar. [size=no report],NIG15577,15577
219173,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-10,18 October 2019. Students of secondary schools in Lagos protested largescale failures in their promotional examinations on three consecutive days. [size=no report],NIG15562,15562
219179,Protesters (Nigeria),APC: All Progressives Congress,,,Ondo,2019-10,18 October 2019. APC members in Ondo protested ticket sales to mototaxi drivers. [size=no report],NIG15563,15563
219450,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2019-10,18 October 2019. Members of IM staged a protest in Abuja and demanded freedom for their leader. Police forces responded with gunshots in the air and tear gas. [size=no report],NIG15561,15561
219673,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-10,17 October 2019. Students of secondary schools in Lagos protested largescale failures in their promotional examinations on three consecutive days. [size=no report],NIG15556,15556
219938,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-10,17 October 2019. APC members protested at the APC HQ in Abuja and demanded the expulsion of a senator from the party. [size=no report],NIG15555,15555
220338,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-10,16 October 2019. Workers of Industrial and General Insurance company in Lagos protested the sacking of employees. [size=no report],NIG15549,15549
220652,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-10,16 October 2019. Students of secondary schools in Lagos protested largescale failures in their promotional examinations on three consecutive days. [size=no report],NIG15550,15550
221335,Protesters (Nigeria),Labour Group (Nigeria),,,Kaduna,2019-10,15 October 2019. Staff of the Kaduna Electric Distribution Company at the company's premises in Kaduna protested the non-payment of salaries and non-remittance of their pensions. [size=no report],NIG15544,15544
222284,Protesters (Nigeria),Students (Nigeria),,,Katsina,2019-10,"13 October 2019. Students protested inhuman treatment and torture at a school in Daura. Following the protest, the school was closed down by police forces. [size=no report]",NIG15537,15537
224537,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-10,09 October. Pensioners of the Nigerian Ports Authority protested the non-increase of their pension at the HQ in Lagos. [size=no report],NIG15512,15512
224611,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2019-10,09 October. Pensioners of the Nigerian Ports Authority protested the non-increase of their pension in Port Harcourt. [size=no report],NIG15511,15511
224841,Protesters (Nigeria),Women (Nigeria),,,Rivers,2019-10,09 October (or around) 2019. Women staged a protest in Bodo against Julius Berger company and the construction of a road. [size=200],NIG15533,15533
225053,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2019-10,08 October. Pensioners protested the non-payment of their pensions at the Government House in Asaba. [size=no report],NIG15508,15508
225219,Protesters (Nigeria),Women (Nigeria),,,Abia,2019-10,08 October. Women protested in Aba over bad roads in the area. [size=no report],NIG15501,15501
226336,Protesters (Nigeria),MASSOB: Movement for the Actualization of a Sovereign State of Biafra,,,Anambra,2019-10,06 October. MASSOB held an anniversary rally in Awka and protested the reintroduction of toll gates on highways in Southern Nigeria. [size=no report],NIG15493,15493
227037,Protesters (Nigeria),Students (Nigeria),,,Lagos,2019-10,04 October. Youth protested in Badagry against the dismissal of academic staff of Lagos State University. [size=no report],NIG15466,15466
227301,Protesters (Nigeria),IM: Islamic Movement,Gov(Nigeria),,Federal Capital Territory,2019-10,04 October. Members of IM protested in Abuja and demanded the release of their leader from custody. Police forces dispersed the crowd. [size=no report],NIG15471,15471
228425,Protesters (Nigeria),APC: All Progressives Congress,,,Ekiti,2019-10,02 October. APC members protested the imposition of a candidate by party leaders in Ado-Ekiti. [size=no report],NIG15464,15464
229215,Protesters (Nigeria),Street Traders (Nigeria),Gov(Nigeria),,Delta,2019-10,01 October (or around). Police forces used live ammunition to stop a protest of street traders against a local landlord who tried to evict the traders. A police officer was killed by stray-bullets fired by a colleague. [size=no report],NIG15458,15458
229303,Protesters (Nigeria),APC: All Progressives Congress,,,Ogun,2019-10,01 October. APC members in Abeokuta protested the perceived humilation of Vice President Osinbayo by his political rivals. [size=no report],NIG15459,15459
231853,Protesters (Nigeria),Labour Group (Nigeria),,,Bayelsa,2019-09,26 September. 200 pensioners protested in Yenagoa and demanded the payment of their outstanding pension arrears. [size=200],NIG15424,15424
234276,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Adamawa,2019-09,"22 September. Protests were reported during the PDP primary elections in Ganye LGA (no geo location known, coded as Ganye) over intransparent election procedures. [size=no report]",NIG15414,15414
234280,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Adamawa,2019-09,22 September. PDP members in Numan protested the disqualification of a candidate in the party primaries. [size=no report],NIG15415,15415
235685,Protesters (Nigeria),Students (Nigeria),,,Zamfara,2019-09,20 September. Students of Federal Polytechnic in Kaura Namoda protested lacking water and electricity supply and demanded security on campus. [size=no report],NIG15385,15385
236621,Protesters (Nigeria),Women (Nigeria),,,Rivers,2019-09,18 September. Women in Port Harcourt protested the recent killings of women in hotels across the state. [size=no report],NIG15380,15380
237507,Protesters (Nigeria),Labour Group (Nigeria),,,Cross River,2019-09,16 September. Members of the Cross River state Assembly protested the non-payment of allowances at the premises of the House of Assembly. [size=no report],NIG15376,15376
238473,Protesters (Nigeria),Women (Nigeria),,,Rivers,2019-09,14 September (or around). A group of women protested the recent killings of women in Port Harcourt. [size=no report],NIG15356,15356
238535,Protesters (Nigeria),Women (Nigeria),,,Lagos,2019-09,14 September (or around). Women of Baiyeku/Lagos protested the activities of a company in their area. [size=no report],NIG15357,15357
238934,Protesters (Nigeria),APC: All Progressives Congress,,,Abia,2019-09,13 September (or around). Members of APC in Aba protested the nomination of a candidate into the board of the Niger Delta Development Commission. [size=200],NIG15354,15354
240774,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Ekiti,2019-09,10 September. Police forces used live ammunition to disperse a peaceful protest of students against power outages at FUOYE University in Ekiti. One student was killed.,NIG15327,15327
241337,Protesters (Nigeria),Labour Group (Nigeria),,,Benue,2019-09,09 September. Pensioners continued their protest at the Government House in Makurdi and demanded the payment of their entitlements. [size=no report],NIG15335,15335
241572,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Ogun,2019-09,09 September. Police forces teargased students who protested at the Tai Solarin College of Education in Omu-Ijebu. The provost of the university allegedly ordered the police to disperse the protest. [size=no report],NIG15358,15358
243647,Protesters (Nigeria),Students (Nigeria),,,Enugu,2019-09,04 September. Students of the Ikechukwu Odu Federal College of Education in Eha-Amufu protested the lack of security on campus and exploitation by the management. [size=no report],NIG15286,15286
243869,Protesters (Nigeria),Labour Group (Nigeria),,,Benue,2019-09,04 September. Pensioners protested the non-payment of their pensions at the Government House in Makurdi. [size=no report],NIG15287,15287
244446,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2019-09,03 September (or around). Tipper sand dealers protested the increase of government levies in Onitsha. [size=no report],NIG15274,15274
244532,Protesters (Nigeria),Labour Group (Nigeria),,,Kano,2019-09,03 September. Truck drivers protested an alleged attack of a traffic agent on a colleague in Kano. Drivers used their trucks to block a road in town. [size=no report],NIG15284,15284
244709,Protesters (Nigeria),Students (Nigeria),,,Benue,2019-09,02 September. Students in Makurdi protested the introduction of a new grading scheme at the University. [size=no report],NIG15268,15268
247017,Protesters (Nigeria),Labour Group (Nigeria),,,Abia,2019-08,29 August. Pensioners from Abia state protested the non-payment of the pensions in Umuahia. [size=no report],NIG15244,15244
247756,Protesters (Nigeria),APC: All Progressives Congress,,,Federal Capital Territory,2019-08,28 August. APC supporters protested the parties' candidate selection procedure for the Kogi election at the APC HQ in Abuja. [size=no report],NIG15242,15242
248610,Protesters (Nigeria),Students (Nigeria),,,Benue,2019-08,26 August. Students protested the shooting the President of National Union of Benue State Students by criminals in Makurdi. [size=no report],NIG15235,15235
249500,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2019-08,25 August (or around). Sacked workers of Delta Line Transport Company and Delta State protested the decision to sack them from state's civil service in Asaba. [size=3650],NIG15234,15234
250313,Protesters (Nigeria),Farmers (Nigeria),,,Ogun,2019-08,23 August. Farmers protested in Abeokuta against the alleged seizure of farm produce. [size=no report],NIG15229,15229
250834,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Oyo,2019-08,"On August 22nd, members of the PDP demonstrated outside the Oyo state assembly at Ibadan (Oyo state), in opposition to the appointment of a youthful APC member as Minister for Youth and Sports. [size=small]",NIG15215,15215
251824,Protesters (Nigeria),Labour Group (Nigeria),,,Kwara,2019-08,"On August 20th, retired police officers protested in Ilorin (Kwara state), at the partial payment of their pensions. [size=no report]",NIG15209,15209
254562,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2019-08,15 August. PDP supporters protested in Abuja and demanded release of a social activist arrested earlier. [size=no report],NIG15189,15189
254711,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-08,15 August (or around). A group of freight forwarders in Apapa protested the imposition of a levy. [size=no report],NIG15190,15190
255045,Protesters (Nigeria),Women (Nigeria),,,Delta,2019-08,"15 August. Women from various communities in Warru South West staged protests at flow stations in the area. The demonstrators demand infrastructure development, job creation and the payment of entitlements. [size=no report]",NIG15187,15187
255137,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Anambra,2019-08,14 August. A group of Catholic priests in Achina led a protest against the bad state of infrastructure in the community. [size=no report],NIG15177,15177
256314,Protesters (Nigeria),Women (Nigeria),,,Imo,2019-08,12 August. Women in Avu protested the rape of a girl in their community. [size=hundreds],NIG15170,15170
257253,Protesters (Nigeria),Labour Group (Nigeria),,,Kaduna,2019-08,10 August. Commercial drivers blocked the Kaduna-Abuja highway to protest the killing of a bus driver by a police officer on the previous day. [size=no report],NIG15162,15162
258869,Protesters (Nigeria),Students (Nigeria),,,Ekiti,2019-08,07 August. Students of the University in Ado-Ekiti protested the arrest of fellow students. [size=no report],NIG15153,15153
259285,Protesters (Nigeria),Farmers (Nigeria),,,Abia,2019-08,06 August (or around). Farmers protested practices of a bank in Umuahia. [size=500],NIG15144,15144
259916,Protesters (Nigeria),Women (Nigeria),,,Anambra,2019-08,05 August. Women in Awka protested alleged intimidation and land-grabbing by the local traditional ruler. [size=no report],NIG15137,15137
260135,Protesters (Nigeria),Journalists (Nigeria),Gov(Nigeria),,Lagos,2019-08,"05 August. A nationwide protest under the flag of #RevolutionNow was dispersed by Police forces at the Stadium in Lagos using gunshots and tear gas. One protester was shot and injured while nine were arrested, including journalists. [size=no report]",NIG15130,15130
260146,Protesters (Nigeria),Journalists (Nigeria),Gov(Nigeria),,Cross River,2019-08,05 August. A nationwide protest under the flag of #RevolutionNow was dispersed by Police forces in Calabar. Journalists were arrested. [size=no report],NIG15133,15133
261437,Protesters (Nigeria),Catholic Christian Group (Nigeria),,,Enugu,2019-08,02 August. Catholic priests in Enugu protested the killing of a priest on August 01. [size=no report],NIG15119,15119
261857,Protesters (Nigeria),Women (Nigeria),,,Delta,2019-08,01 August (or around). Women of Sapele Okpe community protested at the Forte Oil Sapele Branch over the non-payment of entitlements to the community. [size=no report],NIG15109,15109
261863,Protesters (Nigeria),Women (Nigeria),,,Ogun,2019-08,01 August. Women protested in Abeokuta against the exclusion of women from the state governance in Ogun. [size=hundreds],NIG15110,15110
262197,Protesters (Nigeria),Labour Group (Nigeria),,,Ogun,2019-07,31 July. Staff members of Ogun State College of Health Technology in Ijebu-Ode protested to show their support for the management of the University. [size=50],NIG15108,15108
262260,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2019-07,31 July. Tricycle operators in Ikeja protested extortion and arrests by the Lagos State Traffic Management Authority (LASTMA). [size=no report],NIG15099,15099
262423,Protesters (Nigeria),Women (Nigeria),,,Imo,2019-07,31 July. Women protested in Owerri the slapping of Senator Okorocha daughter by a government employee. [size=hundreds],NIG15096,15096
262962,Protesters (Nigeria),Students (Nigeria),,,Taraba,2019-07,30 July. Students at Wukari University protested the invasion of Jukun militias and killings on the campus earlier that day. [size=no report],NIG15092,15092
263579,Protesters (Nigeria),IPOB: Indigenous Peoples of Biafra,,,Ebonyi,2019-07,29 July. IPOB staged a protest in Abakaliki to demonstrate against the planned RUGA program of the Government. [size=no report],NIG15085,15085
263855,Protesters (Nigeria),Labour Group (Nigeria),,,Ebonyi,2019-07,28 July. Trailer drivers blocked the Enugu-Abakaliki to protest violence by Agric revenue agents. [size=no report],NIG15082,15082
